,Marque,Référence annonce,Nom,Modèle,Prix,Année,Contrôle technique,Énergie,Boîte de vitesse,Couleur extérieure,Couleur intérieure,Nombre de portes,Nombre de places,Première main (déclaratif),Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Norme Euro,Éligible prime à la conversion,Kilométrage compteur km,Garantie,Nombre de propriétaires,Garantie constructeur,Vérifié & Garanti,Provenance
1,Audi,E106042397,AUDI SQ5 (2) 3.0 V6 BITDI 313 QUATTRO TIPTRONIC 8,SQ5,35580,2015,non requis,Diesel,automatique,DAYTONA,noir,5,5,non,20 CV,313 ch,2,174 g/kmE,EURO5,Non,98500,,,,,
2,Audi,W101651725,AUDI Q5 2.0 TDI 143 DPF 8CV AVUS,Q5,14990,2013,requis,Diesel,mécanique,gris foncé metal,cuir/alcantara noir,5,5,oui,8 CV,143 ch,2,139 g/kmC,EURO5,Non,175326,3 mois,1,,,
3,Audi,W101718784,AUDI A4 ALLROAD II V6 3.0 TDI 272 DESIGN LUXE QUATTRO TIPTRONIC,A4 ALLROAD (2E GENERATION),47900,2018,non requis,Diesel,automatique,gris foncé metal,cuir noir,5,5,non,16 CV,272 ch,2,143 g/kmD,EURO6,Non,27000,12 mois,3,,,
4,Audi,E106202231,AUDI A8 III V6 3.0 TDI 250 AVUS QUATTRO TIPTRONIC,A8 (3E GENERATION),19990,2011,requis,Diesel,automatique,gris,,4,5,non,15 CV,250 ch,2,174 g/kmE,EURO5,Non,156900,,,,,
5,Audi,E106278661,AUDI S3 III (2) SPORTBACK 2.0 TFSI 310 QUATTRO S TRONIC 7,S3 (3E GENERATION) SPORTBACK,38490,2017,non requis,Essence,automatique,noir,,5,5,non,20 CV,310 ch,1,150 g/kmD,EURO6,Non,37500,,,,,
6,Audi,W101711349,AUDI A3 III SPORTBACK 1.4 TFSI 122 AMBITION S TRONIC,A3 (3E GENERATION) SPORTBACK,15590,2013,requis,Essence,automatique,noir metal,tissu gris,5,5,non,6 CV,125 ch,1,114 g/kmB,EURO5,Oui,82240,6 mois,,,,
7,Audi,E106113243,AUDI Q5 (2) 3.0 V6 TDI 258 S LINE QUATTRO S TRONIC 7,Q5,29880,2015,non requis,Diesel,automatique,blanc,noir,5,5,non,16 CV,258 ch,2,161 g/kmE,EURO6,Non,89915,,,,,
8,Audi,E105862968,AUDI A1 SPORTBACK 2.0 TDI 143 AMBITION,A1 SPORTBACK,14890,2014,requis,Diesel,mécanique,noir,noir,5,4,non,7 CV,143 ch,2,108 g/kmB,EURO5,Non,89281,,,,,
9,Audi,E106256873,AUDI A1 (2) SPORTBACK 1.6 TDI 116 BUSINESS LINE,A1 SPORTBACK,14480,2016,non requis,Diesel,mécanique,noir,noir,5,4,non,6 CV,116 ch,2,99 g/kmA,EURO6,Non,75713,,,,,
10,Audi,E105999639,AUDI Q3 (2) 2.0 TDI 184 S LINE QUATTRO S TRONIC,Q3,24970,2015,requis,Diesel,automatique,noir,brun,5,5,non,10 CV,184 ch,2,139 g/kmC,EURO6,Non,89900,,,,,
